// 2012.  Started with the new version of nonlinear ineq prover.
QED, ineq(OXLZLEZ 6346351218 1 40), secs(3),  cells(1792), svn(2866:2868M,130), Tue Jun  5 22:11:07 ICT 2012
QED, ineq(OXLZLEZ 6346351218 0 40), secs(0),  cells(1), svn(2866:2868M,130), Tue Jun  5 22:11:11 ICT 2012
QED, ineq(OXLZLEZ 6346351218 4 39), secs(36),  cells(23260), svn(2866:2868M,130), Tue Jun  5 22:11:55 ICT 2012
QED, ineq(OXLZLEZ 6346351218 3 39), secs(37),  cells(23260), svn(2866:2868M,130), Tue Jun  5 22:12:40 ICT 2012
QED, ineq(OXLZLEZ 6346351218 2 39), secs(16),  cells(9634), svn(2866:2868M,130), Tue Jun  5 22:13:04 ICT 2012
QED, ineq(OXLZLEZ 6346351218 1 39), secs(91),  cells(51802), svn(2866:2868M,130), Tue Jun  5 22:14:45 ICT 2012
QED, ineq(OXLZLEZ 6346351218 0 39), secs(0),  cells(1), svn(2866:2868M,130), Tue Jun  5 22:14:49 ICT 2012
QED, ineq(OXLZLEZ 6346351218 4 38), secs(57),  cells(34114), svn(2866:2868M,130), Tue Jun  5 22:15:55 ICT 2012
QED, ineq(OXLZLEZ 6346351218 3 38), secs(22),  cells(13002), svn(2866:2868M,130), Tue Jun  5 22:16:26 ICT 2012
QED, ineq(OXLZLEZ 6346351218 2 38), secs(49),  cells(28050), svn(2866:2868M,130), Tue Jun  5 22:17:24 ICT 2012
QED, ineq(OXLZLEZ 6346351218 1 38), secs(18),  cells(10072), svn(2866:2868M,130), Tue Jun  5 22:17:52 ICT 2012
QED, ineq(OXLZLEZ 6346351218 0 38), secs(0),  cells(1), svn(2866:2868M,130), Tue Jun  5 22:17:56 ICT 2012
QED, ineq(OXLZLEZ 6346351218 4 37), secs(59),  cells(34114), svn(2866:2868M,130), Tue Jun  5 22:19:04 ICT 2012
QED, ineq(OXLZLEZ 6346351218 3 37), secs(24),  cells(13646), svn(2866:2868M,130), Tue Jun  5 22:19:38 ICT 2012
QED, ineq(OXLZLEZ 6346351218 2 37), secs(70),  cells(40926), svn(2866:2868M,130), Tue Jun  5 22:20:58 ICT 2012
QED, ineq(OXLZLEZ 6346351218 1 37), secs(18),  cells(10072), svn(2866:2868M,130), Tue Jun  5 22:21:26 ICT 2012
QED, ineq(OXLZLEZ 6346351218 0 37), secs(0),  cells(1), svn(2866:2868M,130), Tue Jun  5 22:21:30 ICT 2012
QED, ineq(OXLZLEZ 6346351218 4 36), secs(49),  cells(28050), svn(2866:2868M,130), Tue Jun  5 22:22:28 ICT 2012
QED, ineq(OXLZLEZ 6346351218 3 36), secs(35),  cells(20174), svn(2866:2868M,130), Tue Jun  5 22:23:12 ICT 2012
QED, ineq(OXLZLEZ 6346351218 2 36), secs(78),  cells(46374), svn(2866:2868M,130), Tue Jun  5 22:24:38 ICT 2012
QED, ineq(OXLZLEZ 6346351218 1 36), secs(17),  cells(10072), svn(2866:2868M,130), Tue Jun  5 22:25:05 ICT 2012
QED, ineq(OXLZLEZ 6346351218 0 36), secs(0),  cells(1), svn(2866:2868M,130), Tue Jun  5 22:25:09 ICT 2012
QED, ineq(OXLZLEZ 6346351218 4 35), secs(167),  cells(99314), svn(2866:2868M,130), Tue Jun  5 22:28:05 ICT 2012
QED, ineq(OXLZLEZ 6346351218 3 35), secs(51),  cells(33384), svn(2866:2868M,130), Tue Jun  5 22:29:04 ICT 2012
QED, ineq(OXLZLEZ 6346351218 2 35), secs(161),  cells(103708), svn(2866:2868M,130), Tue Jun  5 22:31:53 ICT 2012
QED, ineq(OXLZLEZ 6346351218 1 35), secs(36),  cells(22022), svn(2866:2868M,130), Tue Jun  5 22:32:37 ICT 2012
QED, ineq(OXLZLEZ 6346351218 0 35), secs(0),  cells(1), svn(2866:2868M,130), Tue Jun  5 22:32:40 ICT 2012
QED, ineq(OXLZLEZ 6346351218 4 34), secs(154),  cells(99314), svn(2866:2868M,130), Tue Jun  5 22:35:22 ICT 2012
QED, ineq(OXLZLEZ 6346351218 3 34), secs(91),  cells(58882), svn(2866:2868M,130), Tue Jun  5 22:37:01 ICT 2012
QED, ineq(OXLZLEZ 6346351218 2 34), secs(134),  cells(87352), svn(2866:2868M,130), Tue Jun  5 22:39:23 ICT 2012
QED, ineq(OXLZLEZ 6346351218 1 34), secs(36),  cells(22020), svn(2866:2868M,130), Tue Jun  5 22:40:07 ICT 2012
QED, ineq(OXLZLEZ 6346351218 0 34), secs(0),  cells(1), svn(2866:2868M,130), Tue Jun  5 22:40:10 ICT 2012
QED, ineq(OXLZLEZ 6346351218 4 33), secs(91),  cells(58882), svn(2866:2868M,130), Tue Jun  5 22:41:49 ICT 2012
QED, ineq(OXLZLEZ 6346351218 3 33), secs(194),  cells(125530), svn(2866:2868M,130), Tue Jun  5 22:45:11 ICT 2012
